UNITID,INSTNM,Snippet,Motto
199999,Winston-Salem State University,"Winston-Salem State University (WSSU), a constituent institution of the University of North Carolina, is a historically black public research university located in Winston-Salem, North Carolina, United States. It is a member-school of the Thurgood Marshall College Fund. WSSU is an accredited university offering baccalaureate and graduate programs to a diverse student population.
","Enter to Learn, Depart to Serve."
200004,Western Carolina University,"Western Carolina University (WCU) is a public university in Cullowhee, North Carolina, United States. It is part of the University of North Carolina system.[5]
",N/A
200059,Dickinson State University,"Dickinson State University (DSU) is a public university in Dickinson, North Dakota. It is part of the North Dakota University System.  It was founded in 1918 as Dickinson State Normal School[6] and granted full university status in 1987.
",Small Community. Big Opportunity.
200156,University of Jamestown,"The University of Jamestown is a private liberal arts college founded by the Presbyterian Church[2] located in Jamestown, North Dakota, United States. It has about 1,000 students enrolled today and has been co-educational from its founding. Until August 2013, the school was known as Jamestown College.[3]
",Latin: Lux et Veritas
200217,University of Mary,"The University of Mary (UMary or simply Mary) is a private, Benedictine university near Bismarck, North Dakota. It was established in 1959 as Mary College.
",Lumen Vitae(The Light of Life)
200226,Mayville State University,"Mayville State University (MSU or MaSU) is a public university in Mayville, North Dakota.  It is part of the North Dakota University System.
",N/A
200253,Minot State University,"Minot State University (MSU or MiSU) is a public university in Minot, North Dakota.  Founded in 1913 as a normal school, Minot State University is the third-largest university in North Dakota, offering undergraduate and graduate degree programs.
",N/A
200280,University of North Dakota,"
",Lux et Lex (Latin)
200332,North Dakota State University-Main Campus,"Other reasons this message may be displayed:
",N/A
200484,Trinity Bible College and Graduate School,"Trinity Bible College and Graduate School (TBCGS) is a private college and graduate school in Ellendale, North Dakota, affiliated with the Assemblies of God USA. 
",N/A
200572,Valley City State University,"Valley City State University (VCSU) is an institution of higher learning in Valley City, North Dakota, United States, part of the eleven-member North Dakota University System.
",N/A
200800,University of Akron Main Campus,"Other reasons this message may be displayed:
",N/A
201061,Art Academy of Cincinnati,"The Art Academy of Cincinnati is a private college of art and design in Cincinnati, Ohio, accredited by the National Association of Schools of Art and Design. It was founded as the McMicken School of Design in 1869, and was a department of the University of Cincinnati, and later in 1887, became the Art Academy of Cincinnati, the museum school of the Cincinnati Art Museum.
",N/A
201104,Ashland University,"
",N/A
201195,Baldwin Wallace University,"
",N/A
201371,Bluffton University,"Bluffton University is a Mennonite liberal arts college in Bluffton, Ohio, United States. It was founded in 1899 as Central Mennonite College, became Bluffton College in 1913, and adopted the name Bluffton University in 2004.
",The Truth Makes Free
201441,Bowling Green State University-Main Campus,"Other reasons this message may be displayed:
",N/A
201548,Capital University,"Capital University (Capital, Cap, or CU) is a private research university in Bexley, Ohio, a suburb of Columbus. Capital was founded as the Theological Seminary of the Evangelical Lutheran Synod of Ohio in 1830, and later was associated with that synod's successor, the American Lutheran Church.[5] The university has undergraduate and graduate programs, as well as a law school.[6] Capital University is the oldest university in Central Ohio and is one of the oldest and largest Lutheran-affiliated universities in North America.[7]
",N/A
201645,Case Western Reserve University,"
",N/A
201654,Cedarville University,"Cedarville University is a private Baptist university in Cedarville, Ohio.
",N/A
201690,Central State University,"Central State University (CSU) is a public, historically black university (HBCU) located in Wilberforce, Ohio, United States.  It is a member-school of the Thurgood Marshall College Fund.
",N/A
201858,Cincinnati Christian University,"Cincinnati Christian University (formerly Cincinnati Bible College and Seminary) is a private Christian university located in Cincinnati, Ohio, United States. CCU is supported by the Christian Churches and Churches of Christ, which are part of the Restoration Movement.
",N/A
201885,University of Cincinnati-Main Campus,"Other reasons this message may be displayed:
",N/A
201964,Ohio Christian University,"Ohio Christian University (OCU) is a private Christian college in Circleville, Ohio. The school is denominationally affiliated with the Churches of Christ in Christian Union.
",N/A
202046,Cleveland Institute of Art,"The Cleveland Institute of Art, previously Cleveland School of Art, is a private college focused on art and design and located in Cleveland, Ohio.[2]
",N/A
202073,Cleveland Institute of Music,"
",N/A
202134,Cleveland State University,"Cleveland State University (CSU) is a public research university in downtown Cleveland, Ohio, United States. It was established in 1964, and opened for classes in 1965 after acquiring the entirety of Fenn College, a private school that had been in operation since 1923. CSU absorbed the Cleveland-Marshall College of Law in 1969.[1] Today it is part of the University System of Ohio, has more than 120,000 alumni, and offers over 200 academic programs.[4]
",N/A
202170,Columbus College of Art and Design,"Columbus College of Art & Design (CCAD) is a private college of art and design located in downtown Columbus, Ohio. Founded in 1879 as the Columbus Art School, CCAD is one of the oldest private art and design colleges in the United States. Located in downtown Columbus, CCAD's campus consists of 14 buildings (including 2 residence halls) on 9 acres (36,000 m2) and is adjacent to the Columbus Museum of Art. Approximately 1,050 full-time students are enrolled.
",N/A
202480,University of Dayton,"
",Pro Deo et Patria (Latin)
202514,Defiance College,"Defiance College is a private college in Defiance, Ohio.  It is an independent, co-educational liberal arts college affiliated with the United Church of Christ. The campus includes eighteen buildings and access to the 200-acre (80.9 ha) Thoreau Wildlife Sanctuary.[2]
","""Defy the ordinary"""
202523,Denison University,"
",N/A
202763,The University of Findlay,"The University of Findlay (UF) is a private university in Findlay, Ohio.  Established in 1882 through a joint partnership between the Churches of God General Conference and the city of Findlay, the university is known for science, health professions, animal science and equestrian studies programs. UF has nearly 60 undergraduate programs of study leading to baccalaureate degrees and offers 10 master’s degrees and four doctorate-level degree programs. Nearly 4,200 students from approximately 35 countries are enrolled at Findlay with an international student population of approximately 500. Approximately 1,250 students live on campus in university housing. The University of Findlay has a 73-acre (30 ha) main campus and six off-campus facilities.
",N/A
202806,Franklin University,"Franklin University is a private university with its headquarters in Columbus, Ohio.  It was founded in 1902 to serve the needs of adult students looking to finish their degree. The university has over 25 location centers in the Midwestern United States[5] and a majority online population.[6]
",N/A
202903,Gods Bible School and College,"Other reasons this message may be displayed:
",N/A
203085,Heidelberg University,"Coordinates: 49°24′37″N 8°42′23″E﻿ / ﻿49.41028°N 8.70639°E﻿ / 49.41028; 8.70639
",Semper apertus (Latin)[1]
203128,Hiram College,"Hiram College (/ˈhaɪrəm/ HY-rəm) is a private liberal arts college in Hiram, Ohio, United States. It was founded in 1850 as the Western Reserve Eclectic Institute by Amos Sutton Hayden and other members of the Disciples of Christ Church. The college is nonsectarian and coeducational. It is accredited by the Higher Learning Commission. Hiram's most famous alumnus is James A. Garfield, who served as a college instructor and principal before he was elected the 20th President of the United States.[2][3][4]
",Fiat Lux (Latin)
203368,John Carroll University,"
",Ad Majorem Dei Gloriam (Latin)
203517,Kent State University at Kent,"Other reasons this message may be displayed:
",N/A
203535,Kenyon College,"Kenyon College is a private liberal arts college in Gambier, Ohio. It was founded in 1824 by Philander Chase.[5][6][7] Kenyon College is accredited by the Higher Learning Commission.[8]
",Magnanimiter Crucem Sustine (Latin)
203580,Lake Erie College,"Lake Erie College is a private liberal arts college in Painesville, Ohio. Founded in 1856 as a female seminary, the college converted to a coeducational institution in 1985. As of the 2016–2017 academic year, the total enrollment was 1,177 students.[3]
",N/A
203757,Lourdes University,"Lourdes University is a private Franciscan university in Sylvania, Ohio. Established in 1958, the university is sponsored by the Sisters of St. Francis of Sylvania.[2]
",N/A
203775,Malone University,"
",Christ's Kingdom First
203845,Marietta College,"Marietta College is a private liberal arts college in Marietta, Ohio.  The college offers 45 majors.  The school encompasses approximately three city blocks next to downtown Marietta and enrolls 1,200 full-time students.
",N/A
204006,Miami University-Hamilton,"Other reasons this message may be displayed:
",N/A
204015,Miami University-Middletown,"Other reasons this message may be displayed:
",N/A
204024,Miami University-Oxford,"Other reasons this message may be displayed:
",N/A
204176,Mount Carmel College of Nursing,"Mount Carmel West is a primary care hospital located in downtown Columbus, Ohio on a 37-acre campus.[2] Mount Carmel West is the oldest hospital in the Mount Carmel Health System founded in 1886 by the Sisters of the Holy Cross.[3] The hospital is situated between Ohio State Route 16 and U.S. Route 62 and accessible from exits on Interstate 70 and Ohio State Route 315. The Mount Carmel a College of Nursing is located on hospital grounds.[4] U.S. News & World Report regionally ranked Mount Carmel East and West Hospitals the number 18 best performing among hospitals in Ohio and high performing in four specialties and procedures.[5]
",N/A
204185,University of Mount Union,"The University of Mount Union is a private university in Alliance, Ohio. Founded in 1846, the university was affiliated with the Methodist Church until the spring of 2019. Mount Union has an enrollment of 2,209 undergraduate students,[3] divided approximately equally between men and women.
",Sit Lux
204194,Mount Vernon Nazarene University,"Mount Vernon Nazarene University (MVNU) is a Christian liberal arts college in Mount Vernon, Ohio, with satellite locations in the surrounding area. It was founded in 1968 by the Church of the Nazarene and offers a variety of Bachelor's and Master's degrees to both traditional and non-traditional students. MVNU is also home to Cougar Athletics.
","""To Seek to Learn is to Seek to Serve""[1]"
204200,Mount Saint Joseph University,"The Mount St. Joseph University (The Mount) is a private, Catholic college in Mount Saint Joseph, Ohio.  The college was founded in 1920 by the Sisters of Charity of Cincinnati.
",Deo Duce
204264,Muskingum University,"
",N/A
204468,Notre Dame College,"Notre Dame College, also known as Notre Dame College of Ohio or simply NDC, is a Catholic liberal arts college in South Euclid, Ohio. Established in 1922 as a women's college, it has been coeducational since January 2001.[3] Notre Dame College offers 30 majors and individually designed majors and confers undergraduate and graduate degrees through five academic divisions. The college had a total enrollment of 2,100 students in fall 2016.[2] The 48-acre (19.4 ha) main academic and residential campus is located 10 miles (16 km) east of Cleveland in South Euclid.
","Changing the world, one student at a time.[1]"
204501,Oberlin College,"Oberlin College is a private liberal arts college and conservatory of music in Oberlin, Ohio. It is the oldest coeducational liberal arts college in the United States and the second oldest continuously operating coeducational institute of higher learning in the world. The Oberlin Conservatory of Music is the oldest continuously operating conservatory in the United States.[4] In 1835 Oberlin became one of the first colleges in the United States to admit African Americans, and in 1837 the first to admit women[5] (other than Franklin College's brief experiment in the 1780s[6]). Today, it its known for its progressive student activism.[7]
",Learning and Labor
204617,Ohio Dominican University,"Ohio Dominican University is a private Dominican liberal arts university in Columbus, Ohio. The university has approximately 1,700 students and offers undergraduate degrees in 40 majors as well as nine graduate degree programs.
",N/A
204635,Ohio Northern University,"Ohio Northern University is a private, United Methodist Church–affiliated university in Ada, Ohio. Founded by Henry Solomon Lehr in 1871, ONU is accredited by The Higher Learning Commission.
","“Ex diversitate vires"" (out of diversity strength)"
204671,Ohio State University-Lima Campus,"Other reasons this message may be displayed:
",N/A
204796,Ohio State University-Main Campus,"Other reasons this message may be displayed:
",N/A
204857,Ohio University-Main Campus,"Other reasons this message may be displayed:
",N/A
204909,Ohio Wesleyan University,"
",In lumine tuo videbimus lumen (Latin)
204936,Otterbein University,"Otterbein University is a private liberal arts college in Westerville, Ohio. It offers 74 majors and 44 minors as well as eight graduate programs.[3] The university was founded in 1847 by the Church of the United Brethren in Christ and named for United Brethren founder the Rev. Philip William Otterbein.  As a result of a division and two mergers involving the church, it has been associated since 1968 with the United Methodist Church. In 2010, its name was changed back from Otterbein College to Otterbein University because of an increasing number of graduate and undergraduate programs.[4]
",N/A
205027,Pontifical College Josephinum,"The Pontifical College Josephinum is a private Roman Catholic liberal arts college and graduate school of theology 
in Columbus, Ohio.  It was founded by Monsignor Joseph Jessing in 1888.  The seminary prepares its students to become priests in the Roman Catholic Church.  Students come from U.S. dioceses that do not have their own seminaries, as well as dioceses from around the world.
",N/A
205124,Rabbinical College Telshe,"Other reasons this message may be displayed:
",N/A
205443,Shawnee State University,"Shawnee State University (SSU) is a medium-sized, four-year, coeducational, public university in Ohio.[2] Established in 1986,  Shawnee State is located in the city of Portsmouth in Scioto County, near the Ohio River. An open-admissions university with a faculty-student ratio of 15:1,[3] Shawnee State is the second least expensive of Ohio's 13 state universities.[4]
",N/A
205957,Franciscan University of Steubenville,"
",Fortitudo et Prudentia
206048,Tiffin University,"Coordinates: 41°7.08′N 83°11.10′W﻿ / ﻿41.11800°N 83.18500°W﻿ / 41.11800; -83.18500
",Sine Audacia Nullum Praemium
206084,University of Toledo,"The University of Toledo, commonly referred to as U of Toledo or UT, is a public research university located in Toledo, Ohio, United States.[3]  The university also operates a 450-acre (180 ha) Health Science campus, which includes the University of Toledo Medical Center, in the  West Toledo neighborhood of Toledo; a 160-acre (65 ha) satellite campus in the Scott Park neighborhood of Toledo; the Center for the Visual Arts is located in downtown Toledo at the Toledo Museum of Art; and a research and education facility, known as the Lake Erie Center, is at the Maumee Bay State Park.
","Coadyuvando El Presente, Formando El Porvenir"
206154,Tri-State Bible College,"Other reasons this message may be displayed:
",N/A
206279,Union Institute & University,"Union Institute & University (UI&U) is a private, non-profit, doctoral-granting, research university that specializes in limited residence and distance learning programs. It is accredited by the Higher Learning Commission of the North Central Association of Colleges and Schools. Its main campus is in Cincinnati, Ohio, and operates satellite campuses located in Florida and California.
",N/A
206330,Urbana University,"Urbana University, a branch campus of Franklin University, is a private university specializing in liberal arts education. Urbana is located in Urbana, Ohio, in Champaign County, approximately one hour west of Columbus and one hour northeast of Dayton.
",N/A
206349,Ursuline College,"Ursuline College is a private Roman Catholic liberal arts college in Pepper Pike, Ohio, United States. It was founded in 1871 by the Ursuline Sisters of Cleveland and was one of the oldest institutions of higher education for women in the United States and the first Catholic women's college in Ohio.  
",Make Your World More
206437,Walsh University,"Walsh University is a 4-year private non-profit,  coeducational, Roman Catholic university in North Canton, Ohio. In 2015, there were approximately 2,890 students. It was founded in 1960 by the Brothers of Christian Instruction,[2] as a liberal arts college. Walsh College became Walsh University in 1993. The University offers more than 70 majors, and seven graduate programs including a Master of Science in Nursing, Master of Occupational Therapy and Doctorate of Physical Therapy. Walsh has a satellite campus in Castel Gandolfo, Italy. It is endorsed by The Newman Guide to Choosing a Catholic College.
",Sed Deus Dat Incrementum
206491,Wilberforce University,"
",Suo Marte
206507,Wilmington College,"Wilmington College may refer to:
",N/A
206525,Wittenberg University,"Wittenberg University is a private liberal arts college in Springfield, Ohio.  It has approximately 2,000 full-time students representing 37 states and 30 foreign countries.
","""Having Light, We Pass It On To Others"""
206589,The College of Wooster,"The College of Wooster is a private liberal arts college in Wooster, Ohio. It is primarily known for its emphasis on mentored undergraduate research and enrolls about 2,000 students. Founded in 1866 by the Presbyterian Church as the University of Wooster, it officially has been non-sectarian since 1969, when ownership ties with the Presbyterian Church ended. From its creation, the college has been a co-educational institution. The school is a member of The Five Colleges of Ohio, Great Lakes Colleges Association, and the Association of Presbyterian Colleges and Universities. As of December 31, 2017, Wooster's endowment stood at $311 million.[4]
",N/A
206604,Wright State University-Main Campus,"Other reasons this message may be displayed:
",N/A
206613,Wright State University-Lake Campus,"Other reasons this message may be displayed:
",N/A
206622,Xavier University,"
",Vidit Mirabilia Magna (Latin)
206695,Youngstown State University,"
",Animus Liberatus
206835,Oklahoma Wesleyan University,"Oklahoma Wesleyan University (OKWU) is a private Wesleyan university in Bartlesville, Oklahoma.  In 2018, the school had 1006 undergraduate students, with approximately 600 of those on its main campus in Bartlesville.[1]
",A university where Jesus is Lord
206862,Southern Nazarene University,"
","""Character, Culture, Christ"""
206914,Cameron University,"Coordinates: 34°36′31″N 98°26′04″W﻿ / ﻿34.608721°N 98.434457°W﻿ / 34.608721; -98.434457
",N/A
206941,University of Central Oklahoma,"
",Ubi Motus Est (Latin)
207041,East Central University,"East Central University (ECU or East Central) is a public, co-educational teaching university in Ada, in the south central region of Oklahoma. East Central one of the six universities that are part of Oklahoma's Regional University System. Beyond its flagship campus is Ada, the university has courses available in McAlester, Shawnee, Ardmore, and Durant, as well as online courses. Nearly 4,500 students are enrolled in the school's undergraduate and graduate programs. Founded as East Central State Normal School in 1909, its present name was adopted in 1985.[4] Some of its more famous alumni include former NFL player Mark Gastineau, past governors Robert S. Kerr and George Nigh, former U.S. Representative Lyle Boren, Oklahoma Supreme Court Justice Tom Colbert, and U.S. Army General James D. Thurman.
",N/A
207157,Randall University,"Randall University is a Christian university in Moore, Oklahoma.  Founded in 1917, it offers associate, bachelor's, and master's degrees. It is one of several higher learning institutions associated with the Free Will Baptists. Randall University is also a member of the Oklahoma Independent Colleges and University.[1] In 2015, it had an enrollment of 365.[2]
",N/A
207209,Langston University,"Langston University (LU) is a public university in Langston, Oklahoma. It is the only historically black college in the state. Though located in a rural setting 10 miles (16 km) east of Guthrie, Langston also serves an urban mission, with University Centers in both Tulsa (at the same campus as the OSU-Tulsa facility) and Oklahoma City, and a nursing program set to open in Ardmore. The university is a member-school of the Thurgood Marshall College Fund.
",Education For Service
207263,Northeastern State University,"Northeastern State University (NSU) is a public university with its main campus in Tahlequah, Oklahoma.  The university also has two other campuses in Muskogee and Broken Arrow as well as online. Northeastern is the oldest institution of higher learning in the state of Oklahoma as well as one of the oldest institutions of higher learning west of the Mississippi River.[5] Tahlequah is home to the capital of the Cherokee Nation of Oklahoma and about 25 percent of the students at NSU identify themselves as American Indian.[6] The university has many courses focused on Native American linguistics, and offers Cherokee language Education as a major.[7] Cherokee can be studied as a second language, and some classes are taught in Cherokee for first language speakers as well.[8]
",Cherokee: ᎦᏟᏐᏗ. ᎢᏅ ᎠᎾᎩᏍᏗ.
207306,Northwestern Oklahoma State University,"Northwestern Oklahoma State University (NWOSU) is a public university in Alva, Oklahoma, with satellite campuses in Enid and Woodward. It offers both bachelor's and master's degrees.
","Learn Today, Lead Tomorrow"
207324,Oklahoma Christian University,"Oklahoma Christian University (OC) is a private Christian liberal arts university in Oklahoma City, Oklahoma.  It was founded in 1950 by members of the Churches of Christ. Enrollment for the fall 2014 semester was a record 2,479 students.
",N/A
207342,University of Oklahoma-Health Sciences Center,"Other reasons this message may be displayed:
",N/A
207351,Oklahoma Panhandle State University,"Oklahoma Panhandle State University (OPSU) is a public college in Goodwell, Oklahoma. OPSU is a baccalaureate degree-granting institution. General governance of the institution is provided by the Board of Regents of the Oklahoma Agricultural and Mechanical Colleges. Academic programs and financial support are authorized and coordinated through the Oklahoma State Regents for Higher Education.
",Progress Through Knowledge
207388,Oklahoma State University-Main Campus,"Other reasons this message may be displayed:
",N/A
207403,Oklahoma Baptist University,"
","""Eruditione Religioneque Veritas"""
207458,Oklahoma City University,"
",Veritas Ecclesia Cognitio
207500,University of Oklahoma-Norman Campus,"Other reasons this message may be displayed:
",N/A
207582,Oral Roberts University,"
Coordinates: 36°03′02″N 95°57′09″W﻿ / ﻿36.05056°N 95.95245°W﻿ / 36.05056; -95.95245
",Educating the whole person
207661,Rogers State University,"
",Tradition Innovation Excellence
207689,St. Gregory's University,"St. Gregory's University was a private, co-educational Catholic liberal arts university. It was one of the oldest institutions of higher learning in the U.S. state of Oklahoma. It had its main campus in Shawnee, and an additional campus in Tulsa.
",N/A
207722,University of Science and Arts of Oklahoma,"The University of Science and Arts of Oklahoma, or USAO, is a public liberal arts college located in Chickasha, Oklahoma. It is the only public college in Oklahoma with a strictly liberal arts–focused curriculum and is a member of the Council of Public Liberal Arts Colleges.[3] USAO is an undergraduate-only institution and grants bachelor's degrees in a variety of subject areas. The school was founded in 1908 as a school for women and from 1912 to 1965 was known as Oklahoma College for Women. It became coeducational in 1965 and today educates approximately 1,000 students. In 2001, the entire Oklahoma College for Women campus was listed as a national historic district.[2][4]
","""College for the Curious Mind"""
207847,Southeastern Oklahoma State University,"Southeastern Oklahoma State University (Southeastern, SE, or SOSU) is a public university in Durant, Oklahoma.  It had an undergraduate enrollment of 3,725 in 2016.[2]
",Progress · Education
207856,Southwestern Christian University,"Southwestern Christian University is a private Pentecostal university in Bethany, Oklahoma.  It was founded in 1946 as Southwestern Bible College in Oklahoma City, Oklahoma, and was the first Pentecostal educational institution in the state. While it was established as a Bible college for the training of Christian church leaders within the International Pentecostal Holiness Church, the denomination planned to quickly expand the school into a junior college.
",N/A
207865,Southwestern Oklahoma State University,"Southwestern Oklahoma State University (SWOSU) is a public university in Weatherford and Sayre, Oklahoma. It is one of six Regional University System of Oklahoma members.
",N/A
207971,University of Tulsa,"
",N/A
208488,Concordia University-Portland,"Other reasons this message may be displayed:
",N/A
208646,Eastern Oregon University,"Eastern Oregon University (EOU) is a public university in La Grande, Oregon, United States.  It is one of seven state-funded, four-year universities of higher education in the state. The university offers bachelor's and master's degrees. Most students obtain a B.S. degree, which requires one quarter of science, whereas a B.A. degree requires two years of a foreign language. In 2016, the University also began work to introduce a Bachelor of Applied Science (B.A.S.) degree with a vocational bent.
",N/A
208725,New Hope Christian College-Eugene,"Other reasons this message may be displayed:
",N/A
208822,George Fox University,"George Fox University (GFU) is a Christian university in Newberg, Oregon. Founded as a school for Quakers in 1885, the private school has more than 4,100 students combined between its main campus in Newberg and its centers in Portland, Salem and Redmond. Graduate studies include psychology, social work, business, education, counseling, physical therapy and seminary. The 108-acre (0.44 km2) main campus is near downtown Newberg, near the junction of Oregon Route 99W and Oregon Route 219. George Fox competes athletically at the NCAA Division III level in the Northwest Conference as the Bruins. The school colors are navy blue and old gold.
",N/A
209056,Lewis & Clark College,"Lewis & Clark College is a private liberal arts college in Portland, Oregon. Originally chartered in 1867 as the Albany Collegiate Institute in Albany,[4] the college was relocated to Portland in 1938 and in 1942 adopted the name Lewis & Clark College after the Lewis and Clark Expedition. Contemporarily, it has an undergraduate College of Arts and Sciences, a School of Law, and a Graduate School of Education and Counseling.
","Explorare, Discere, Sociare (Latin)"
209065,Linfield College-McMinnville Campus,"Other reasons this message may be displayed:
",N/A
209108,Marylhurst University,"Marylhurst University was a private applied liberal arts and business university in Marylhurst, Oregon. It was among the oldest collegiate degree-granting institutions in Oregon, having awarded its first degree in 1897. Marylhurst was founded as St. Mary's College and run for many years by the Sisters of the Holy Names of Jesus and Mary. The former campus is located about nine miles south of Portland, Oregon on the Willamette River. Although Marylhurst University was a Roman Catholic school, it served students of all faiths and backgrounds. 
",Cor Sapientis Quaerit Doctrinam (Latin) The heart of the wise seeks knowledge
209241,Mount Angel Seminary,"Mount Angel Abbey is a private Roman Catholic seminary, university, and community of Benedictine monks in St. Benedict, Oregon, United States. It was established in 1882 from the Abbey of Engelberg, Switzerland. The abbey, located on the top of Mount Angel, a 485-foot-high butte (148 m),[1] has its own post office separate from the city of Mt. Angel's—Saint Benedict. 
",N/A
209287,Multnomah University,"Multnomah University (MU) is a private non-denominational Christian university in Portland, Oregon, with a teaching site in Reno, Nevada. Composed of a college, seminary, graduate school, and online distance-learning program, the university offers bachelor's, master's and doctorate degrees, as well as professional certifications and endorsements.
",N/A
209409,Northwest Christian University,"Northwest Christian University (NCU) is a private, Christian liberal arts college in Eugene, Oregon.  It is historically affiliated with the Christian Church (Disciples of Christ) and the Christian churches and churches of Christ.
",N/A
209490,Oregon Health & Science University,"Oregon Health & Science University (OHSU) is a public university in Oregon with a main campus, including two hospitals, in Portland, Oregon. The institution was founded in 1887 as the University of Oregon Medical Department and later became the University of Oregon Medical School.[1] In 1974, the campus became an independent, self-governed institution called the University of Oregon Health Sciences Center, combining state dentistry, medicine, nursing, and public health programs into a single center.[1] It was renamed Oregon Health Sciences University in 1981 and took its current name in 2001, as part of a merger with the Oregon Graduate Institute (OGI), in Hillsboro.[5] In addition, the university has several partnership programs including a joint PharmD Pharmacy program with Oregon State University in Corvallis.
","Where Healing, Teaching and Discovery Come Together"
209506,Oregon Institute of Technology,"The Oregon Institute of Technology (Oregon Tech[2]) is a public polytechnic university in Oregon with a residential campus in Klamath Falls, Oregon, an urban campus in Wilsonville, Oregon, and additional locations in Salem, La Grande, and Seattle. Oregon Tech provides a total of 32 degree programs in engineering, health technologies, management, communication, psychology and applied sciences with a total of 37 majors.[3] Almost all students complete externships, co-ops, or other hands-on training inside and outside the classroom.[4]
","Per cognitionem, lux"
209533,Oregon College of Art and Craft,"Oregon College of Art and Craft (OCAC) is a private art college in Portland, Oregon.  The college grants Bachelor of Fine Arts and Master of Fine Arts degrees as well as art-focused certificates. The college also offers an Artist-in-Residence program and provides continuing education in the arts to the local community. It was founded by Julia Christiansen Hoffman, a photographer, painter, sculptor, metal worker and weaver, out of her desire to foster the Arts and Crafts movement through classes and exhibitions.  The college is closing at the end of the spring 2019 semester.
",Make. Here. Now.
209542,Oregon State University,"
",N/A
209551,University of Oregon,"
",Mens agitat molem (Latin)
209603,Pacific Northwest College of Art,"The Pacific Northwest College of Art (PNCA) is a private fine arts and design college in Portland, Oregon. Established in 1909, the art school grants bachelor of fine arts degrees and graduate degrees including the  master of fine arts (MFA) and master of arts (MA) degrees. It has an enrollment of about 500 students. PNCA actively participates in Portland's cultural life through a public program of exhibitions, lectures, and internationally recognized visual artists, designers, and creative thinkers.[3]
",N/A
209612,Pacific University,"
",Pro Christo et Regno Ejus
209807,Portland State University,"Portland State University (PSU) is a public research university in Portland, Oregon. It was founded in 1946 as a post-secondary educational institution for World War II veterans. It evolved into a four-year college over the following two decades and was granted university status in 1969. It is the only public urban university in the state of Oregon that is located in a major metropolitan city and is governed by a board of trustees. The university is categorized as an R2: Doctoral University – Higher Research Activity in the Carnegie Classification of Institutions of Higher Education.[4][5]
",Doctrina urbi serviat (Latin)
209825,University of Portland,"
",Latin: Veritas vos Liberabit
209922,Reed College,"
",N/A
210146,Southern Oregon University,"Southern Oregon University (SOU) is a public university in Ashland, Oregon. Founded in 1926, it was formerly known as Southern Oregon College and Southern Oregon State College. It is headquarters for Jefferson Public Radio and public access station Rogue Valley Television. Southern Oregon University is a member of the Council of Public Liberal Arts Colleges.
",N/A
210304,Warner Pacific University,"
",N/A
210331,Corban University,"
","""Dedicating Heart and Mind to God"""
210401,Willamette University,"
",Non nobis solum nati sumus (Latin)
210429,Western Oregon University,"
",N/A
210492,Bryn Athyn College of the New Church,"Bryn Athyn College is a small, private Christian liberal arts college located 20 miles (32 km) northeast of Philadelphia in the borough of Bryn Athyn, Pennsylvania, a National Historic Landmark District. Bryn Athyn is affiliated with the General Church of the New Jerusalem.
",Become a Better You.
210571,Albright College,"
",Veritas et Justitia
210669,Allegheny College,"
",N/A
210739,DeSales University,"DeSales University (DSU) is a private Catholic university in Center Valley, Pennsylvania. The university offers traditional, online, and hybrid courses and programs at the undergraduate and graduate levels. Named for St. Francis de Sales, the university was founded in 1964 as ""Allentown College of Saint Francis de Sales"" by the Oblates of St. Francis de Sales.
","""Be Who You Are and Be That Well"""
210775,Alvernia University,"Alvernia University is a private Franciscan Roman Catholic university in Reading, Pennsylvania. Once known as Alvernia College, the school gained university status in 2008.
",N/A
211024,Clarks Summit University,"Clarks Summit University is a higher education institution located in Clarks Summit, Lackawanna County, Pennsylvania, just outside the city of Scranton.
",N/A
211088,Arcadia University,"Arcadia University is a private university in Glenside, Pennsylvania. A master's university by Carnegie Classification,[1] the university has a co-educational student population of approximately 4,000 (undergraduate and graduate).[2] The university was ranked 42nd in the Regional Universities North category by U.S. News & World Report in 2017.[3] The 76-acre (310,000 m2) campus features Grey Towers Castle, a National Historic Landmark.
",N/A
211158,Bloomsburg University of Pennsylvania,"Bloomsburg University of Pennsylvania, commonly referred to as Bloomsburg, BU or Bloom, is a comprehensive public university located in Bloomsburg, Pennsylvania, United States.[3][4] It is one of the 14 state universities of the Pennsylvania State System of Higher Education (PASSHE). Bloomsburg University is accredited by the Middle States Association of Colleges and Schools, as well as by AACSB, NCATE,  and by many other specialized accrediting agencies.
",N/A
211273,Bryn Mawr College,"Bryn Mawr College (/ˌbrɪnˈmɑːr/ brin-MAR; Welsh: [ˌbɾɨ̞nˈmau̯ɾ])[5] is a women's liberal arts college in Bryn Mawr, Pennsylvania.  Founded as a Quaker institution in 1885, Bryn Mawr is one of the Seven Sister colleges and the Tri-College Consortium. The college has an enrollment of about 1,350 undergraduate students and 450 graduate students.
",Veritatem Dilexi (Latin)
211291,Bucknell University,"Bucknell University is a private liberal arts college in Lewisburg, Pennsylvania. The university consists of the College of Arts and Sciences, Freeman College of Management, and the College of Engineering. Bucknell was founded in 1846, and features programs in the arts, humanities, sciences, social sciences, engineering, management, education, and music, as well as programs and pre-professional advising that prepare students for study in law and medicine. It offers nearly 50 majors and over 60 minors. South of central Lewisburg, the 445-acre (1.80 km2) campus is along the west bank of the West Branch of the Susquehanna River, at an elevation of 530 feet (160 m) above sea level.
",N/A
